STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT08,WT09
USW00013891,"KNOXVILLE AIRPORT, TN US",4/8/2019,5.37,,1.27,0,0,65,69,58,260,260,16.1,21,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/9/2019,4.7,,0.18,0,0,65,75,59,30,10,14.1,18.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/10/2019,4.7,,0,0,0,66,80,50,10,30,12.1,15,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/11/2019,10.07,,0,0,0,69,82,52,180,180,30,36.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/12/2019,11.86,,0.12,0,0,72,79,64,220,220,25.1,31.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/13/2019,6.49,,0.38,0,0,65,72,58,360,360,17,19.9,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/14/2019,15.88,,0.17,0,0,71,81,50,210,210,38,49,,,1,,,1,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/15/2019,9.84,,0,0,0,53,61,42,250,250,28,38,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/16/2019,5.59,,0,0,0,55,78,39,260,250,18.1,23,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/17/2019,5.82,,0,0,0,65,79,51,220,230,15,18.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/18/2019,11.86,,0,0,0,69,80,54,210,200,30,38.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/19/2019,9.84,,1.32,0,0,65,69,47,200,200,40,55,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/20/2019,13.87,,0.05,0,0,47,48,42,220,230,21,25.9,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/21/2019,4.47,,0,0,0,52,68,46,230,220,12.1,13,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/22/2019,2.24,,0,0,0,60,79,43,20,20,8.9,13,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/23/2019,5.59,,0,0,0,65,80,50,240,220,17,23,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/24/2019,6.71,,0,0,0,69,80,56,200,230,15,19.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/25/2019,9.84,,0,0,0,68,73,62,230,230,21,25.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/26/2019,13.42,,0.08,0,0,65,70,56,280,280,28,35.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/27/2019,7.16,,0,0,0,59,72,43,230,230,18.1,23,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/28/2019,10.51,,0,0,0,70,80,60,220,220,21,25.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/29/2019,7.61,,0,0,0,67,86,50,230,230,23,28,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",4/30/2019,6.49,,0,0,0,73,86,59,210,210,19.9,23.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/1/2019,9.4,,0,0,0,75,84,65,240,210,21.9,27.1,,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/2/2019,4.92,,0,0,0,74,85,64,220,240,15,19.9,,,,,,1,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/3/2019,6.93,,0.17,0,0,71,84,60,220,230,23,29.1,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/4/2019,2.68,,0.46,0,0,69,75,62,270,270,21,28,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/5/2019,7.16,,0.75,0,0,67,74,60,80,80,42.9,42.9,1,,,,,1,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/6/2019,4.03,,0,0,0,66,77,55,360,40,10.1,11,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/7/2019,2.68,,0,0,0,67,82,52,290,270,12.1,13,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/8/2019,4.25,,0,0,0,71,85,57,220,220,16.1,19,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/9/2019,9.17,,0,0,0,73,77,65,170,180,21,27.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/10/2019,4.47,,0.17,0,0,71,82,63,250,290,13,17,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/11/2019,7.16,,2.12,0,0,69,75,65,230,230,25.1,32,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/12/2019,11.18,,0.9,0,0,68,72,62,200,210,21.9,28,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/13/2019,9.17,,0,0,0,62,67,53,270,280,17,29.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/14/2019,5.14,,0,0,0,57,68,46,20,10,16.1,21,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/15/2019,3.8,,0,0,0,58,69,44,250,240,12.1,15,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/16/2019,4.03,,0,0,0,64,81,50,230,230,13,18.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/17/2019,5.82,,0.13,0,0,73,85,62,340,350,17,23,1,,1,,,,
